ativo_objeto,ticker_opcao,tipo,strike,vencimento,dte,categoria_vencimento,ultimo_preco,liquidez_score,cenario,estruturas_sugeridas,score,status,motivo
PRIO3,PRIOQ670W5,PUT,67.0,2026-05-29,2,CURTO,1.03,45.5,LATERALIDADE,Monitorar — Iron Condor futuro,58.6,MONITORAR_NO_RTD,Liquidez score 45.5 ≥ 30 — monitorar confirmação via RTD.
RENT3,RENTF486W2,CALL,48.62,2026-06-12,16,CURTO,0.66,45.2,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.6,MONITORAR_NO_RTD,Liquidez score 45.2 ≥ 30 — monitorar confirmação via RTD.
PRIO3,PRIOR745,PUT,74.5,2026-06-19,23,CURTO,6.7,61.9,LATERALIDADE,Monitorar — Iron Condor futuro,58.6,CANDIDATA_PROXIMO_PREGAO,Liquidez score 61.9 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
BBDC4,BBDCF163,CALL,15.74,2026-06-19,23,CURTO,0.33,45.4,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.6,MONITORAR_NO_RTD,Liquidez score 45.4 ≥ 30 — monitorar confirmação via RTD.
SUZB3,SUZBF476,CALL,47.67,2026-06-19,23,CURTO,0.08,45.5,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.6,MONITORAR_NO_RTD,Liquidez score 45.5 ≥ 30 — monitorar confirmação via RTD.
BBAS3,BBASU26,PUT,26.68,2026-09-18,114,LONGO,1.99,78.6,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.6,MONITORAR_NO_RTD,Liquidez score 78.6 ≥ 30 — monitorar confirmação via RTD.
VALE3,VALEF650,CALL,61.68,2026-06-19,23,CURTO,21.31,78.4,LATERALIDADE,Monitorar — Iron Condor futuro,58.5,CANDIDATA_PROXIMO_PREGAO,Liquidez score 78.4 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
HAPV3,HAPVR152,PUT,15.25,2026-06-19,23,CURTO,3.28,44.9,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",58.5,MONITORAR_NO_RTD,Liquidez score 44.9 ≥ 30 — monitorar confirmação via RTD.
VALE3,VALER96,PUT,96.18,2026-06-19,23,CURTO,12.58,78.5,LATERALIDADE,Monitorar — Iron Condor futuro,58.5,CANDIDATA_PROXIMO_PREGAO,Liquidez score 78.5 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
PETR4,PETRR527,PUT,52.19,2026-06-19,23,CURTO,7.48,45.0,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",58.5,MONITORAR_NO_RTD,Liquidez score 45.0 ≥ 30 — monitorar confirmação via RTD.
PRIO3,PRIOR755,PUT,75.5,2026-06-19,23,CURTO,7.51,61.6,LATERALIDADE,Monitorar — Iron Condor futuro,58.5,CANDIDATA_PROXIMO_PREGAO,Liquidez score 61.6 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
ITUB4,ITUBD385,CALL,34.16,2027-04-16,324,EXTRA_LONGO,9.22,95.0,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.5,MONITORAR_NO_RTD,Liquidez score 95.0 ≥ 30 — monitorar confirmação via RTD.
BBAS3,BBASR386,PUT,38.6,2026-06-19,23,CURTO,16.7,45.1,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.5,MONITORAR_NO_RTD,Liquidez score 45.1 ≥ 30 — monitorar confirmação via RTD.
PETR4,PETRG331W4,CALL,33.19,2026-07-24,58,MEDIO,12.71,61.6,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",58.5,MONITORAR_NO_RTD,Liquidez score 61.6 ≥ 30 — monitorar confirmação via RTD.
WEGE3,WEGEF371,CALL,35.28,2026-06-19,23,CURTO,7.4,44.9,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",58.5,MONITORAR_NO_RTD,Liquidez score 44.9 ≥ 30 — monitorar confirmação via RTD.
